name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Siren 042,Lala Lala,0.601,0.596,11,-7.373,1,0.0251,0.694,0.00579,0.107,0.457,108.0,audio_features,75nN4kH1uzSsUdMrdUVfrq,spotify:track:75nN4kH1uzSsUdMrdUVfrq,https://api.spotify.com/v1/tracks/75nN4kH1uzSsUdMrdUVfrq,https://api.spotify.com/v1/audio-analysis/75nN4kH1uzSsUdMrdUVfrq,161043,4
Make Me A Song,Eleanor Friedberger,0.727,0.575,2,-8.295,1,0.0292,0.0548,0.0131,0.123,0.622,129.993,audio_features,71GBQ7iVnffAGkNuTDxCoH,spotify:track:71GBQ7iVnffAGkNuTDxCoH,https://api.spotify.com/v1/tracks/71GBQ7iVnffAGkNuTDxCoH,https://api.spotify.com/v1/audio-analysis/71GBQ7iVnffAGkNuTDxCoH,332400,4
Uprising,Muse,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,audio_features,4VqPOruhp5EdPBeR92t6lQ,spotify:track:4VqPOruhp5EdPBeR92t6lQ,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ,https://api.spotify.com/v1/audio-analysis/4VqPOruhp5EdPBeR92t6lQ,304840,4
Time Is Running Out,Muse,0.585,0.842,9,-5.883,0,0.0556,0.00242,0.00686,0.0866,0.428,118.211,audio_features,2takcwOaAZWiXQijPHIx7B,spotify:track:2takcwOaAZWiXQijPHIx7B,https://api.spotify.com/v1/tracks/2takcwOaAZWiXQijPHIx7B,https://api.spotify.com/v1/audio-analysis/2takcwOaAZWiXQijPHIx7B,237040,4
Knights of Cydonia,Muse,0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,audio_features,7ouMYWpwJ422jRcDASZB7P,spotify:track:7ouMYWpwJ422jRcDASZB7P,https://api.spotify.com/v1/tracks/7ouMYWpwJ422jRcDASZB7P,https://api.spotify.com/v1/audio-analysis/7ouMYWpwJ422jRcDASZB7P,366213,4
Vicious,Lou Reed,0.605,0.846,2,-7.755,1,0.0337,0.0006,0.886,0.0526,0.952,124.247,audio_features,4A48NL57P16zSRaq3yoYry,spotify:track:4A48NL57P16zSRaq3yoYry,https://api.spotify.com/v1/tracks/4A48NL57P16zSRaq3yoYry,https://api.spotify.com/v1/audio-analysis/4A48NL57P16zSRaq3yoYry,176533,4
Like a Hurricane - 2017 Remaster,Neil Young,0.424,0.864,9,-4.532,0,0.0365,0.0128,0.00215,0.149,0.571,113.829,audio_features,1n6gDSllAqVSweuFD82hNH,spotify:track:1n6gDSllAqVSweuFD82hNH,https://api.spotify.com/v1/tracks/1n6gDSllAqVSweuFD82hNH,https://api.spotify.com/v1/audio-analysis/1n6gDSllAqVSweuFD82hNH,497493,4
Smile Like You Mean It,The Killers,0.362,0.979,3,-2.581,0,0.161,0.000378,0.0151,0.231,0.383,125.087,audio_features,4kAgnAL4WKx7YqnlL2fvMh,spotify:track:4kAgnAL4WKx7YqnlL2fvMh,https://api.spotify.com/v1/tracks/4kAgnAL4WKx7YqnlL2fvMh,https://api.spotify.com/v1/audio-analysis/4kAgnAL4WKx7YqnlL2fvMh,234107,4
Season of the Witch,Donovan,0.516,0.513,2,-10.762,1,0.0288,0.159,0.00957,0.0612,0.694,99.735,audio_features,6MOEQCtAWNSCmvg3SFKF5y,spotify:track:6MOEQCtAWNSCmvg3SFKF5y,https://api.spotify.com/v1/tracks/6MOEQCtAWNSCmvg3SFKF5y,https://api.spotify.com/v1/audio-analysis/6MOEQCtAWNSCmvg3SFKF5y,293933,4
Harvest Moon,Neil Young,0.648,0.309,2,-12.432,1,0.0264,0.526,0.000249,0.124,0.407,112.929,audio_features,5l9c6bJmzvftumhz4TMPgk,spotify:track:5l9c6bJmzvftumhz4TMPgk,https://api.spotify.com/v1/tracks/5l9c6bJmzvftumhz4TMPgk,https://api.spotify.com/v1/audio-analysis/5l9c6bJmzvftumhz4TMPgk,303213,4
Canopée,Polo & Pan,0.704,0.692,5,-6.558,0,0.0304,0.0942,0.0109,0.0922,0.369,96.005,audio_features,260V7huyJrXnyYe0dFv2Fa,spotify:track:260V7huyJrXnyYe0dFv2Fa,https://api.spotify.com/v1/tracks/260V7huyJrXnyYe0dFv2Fa,https://api.spotify.com/v1/audio-analysis/260V7huyJrXnyYe0dFv2Fa,276293,4
Saat Vayse,Zedbazi,0.701,0.733,10,-9.82,0,0.0369,0.549,1.14e-05,0.0843,0.785,126.011,audio_features,2VAXA5gR66Afn5ZIMZSp7n,spotify:track:2VAXA5gR66Afn5ZIMZSp7n,https://api.spotify.com/v1/tracks/2VAXA5gR66Afn5ZIMZSp7n,https://api.spotify.com/v1/audio-analysis/2VAXA5gR66Afn5ZIMZSp7n,312660,4
Les bateaux,Pépite,0.533,0.527,4,-8.815,1,0.0269,0.273,2.63e-05,0.0586,0.296,137.968,audio_features,0TFbOsnKJ6c6WQjBvhZwsi,spotify:track:0TFbOsnKJ6c6WQjBvhZwsi,https://api.spotify.com/v1/tracks/0TFbOsnKJ6c6WQjBvhZwsi,https://api.spotify.com/v1/audio-analysis/0TFbOsnKJ6c6WQjBvhZwsi,187720,4
Free,Cat Power,0.833,0.673,0,-8.851,1,0.0351,0.322,0.00851,0.117,0.743,133.625,audio_features,6GJZaic4HSan2B2jgvI2L4,spotify:track:6GJZaic4HSan2B2jgvI2L4,https://api.spotify.com/v1/tracks/6GJZaic4HSan2B2jgvI2L4,https://api.spotify.com/v1/audio-analysis/6GJZaic4HSan2B2jgvI2L4,213107,4
Foggy Notion,The Velvet Underground,0.567,0.901,2,-10.569,1,0.0397,0.000823,0.0629,0.159,0.933,148.204,audio_features,4A3ILv5fW8hpbCj7CuqsD7,spotify:track:4A3ILv5fW8hpbCj7CuqsD7,https://api.spotify.com/v1/tracks/4A3ILv5fW8hpbCj7CuqsD7,https://api.spotify.com/v1/audio-analysis/4A3ILv5fW8hpbCj7CuqsD7,407573,4
Beginning To See The Light - Closet Mix,The Velvet Underground,0.609,0.632,5,-8.703,1,0.028,0.116,0.869,0.13,0.841,124.599,audio_features,248yl9Wbn6b7rb3Z5jKBbL,spotify:track:248yl9Wbn6b7rb3Z5jKBbL,https://api.spotify.com/v1/tracks/248yl9Wbn6b7rb3Z5jKBbL,https://api.spotify.com/v1/audio-analysis/248yl9Wbn6b7rb3Z5jKBbL,279907,4
I Can't Stand It,The Velvet Underground,0.554,0.666,10,-10.236,1,0.0286,0.00396,0.000968,0.167,0.845,129.737,audio_features,0vXwQpJSFtyCV7LoLlMWj2,spotify:track:0vXwQpJSFtyCV7LoLlMWj2,https://api.spotify.com/v1/tracks/0vXwQpJSFtyCV7LoLlMWj2,https://api.spotify.com/v1/audio-analysis/0vXwQpJSFtyCV7LoLlMWj2,202240,4
One Of These Days,The Velvet Underground,0.322,0.739,2,-9.486,1,0.044,0.0192,1.64e-05,0.317,0.695,114.029,audio_features,6NPe8kQMTOtvgxQP6G7Vxy,spotify:track:6NPe8kQMTOtvgxQP6G7Vxy,https://api.spotify.com/v1/tracks/6NPe8kQMTOtvgxQP6G7Vxy,https://api.spotify.com/v1/audio-analysis/6NPe8kQMTOtvgxQP6G7Vxy,238960,4
Lisa Says,The Velvet Underground,0.492,0.465,5,-9.674,1,0.0312,0.613,0.000248,0.084,0.469,151.666,audio_features,36GpsIdDInkSzW6kE5Dxqh,spotify:track:36GpsIdDInkSzW6kE5Dxqh,https://api.spotify.com/v1/tracks/36GpsIdDInkSzW6kE5Dxqh,https://api.spotify.com/v1/audio-analysis/36GpsIdDInkSzW6kE5Dxqh,177533,4
"New Age - Live From The Matrix, San Francisco, CA / 1969",The Velvet Underground,0.384,0.524,0,-8.561,1,0.0308,0.579,0.000133,0.341,0.344,80.605,audio_features,2dx4ARjTXNK0xALBEOSwG4,spotify:track:2dx4ARjTXNK0xALBEOSwG4,https://api.spotify.com/v1/tracks/2dx4ARjTXNK0xALBEOSwG4,https://api.spotify.com/v1/audio-analysis/2dx4ARjTXNK0xALBEOSwG4,396107,4
"Rock And Roll - Live From The Matrix, San Francisco, CA / 1969",The Velvet Underground,0.457,0.786,0,-6.91,1,0.0292,0.216,0.00606,0.112,0.352,140.246,audio_features,1frf0XWnMowpEYeNHIOCQh,spotify:track:1frf0XWnMowpEYeNHIOCQh,https://api.spotify.com/v1/tracks/1frf0XWnMowpEYeNHIOCQh,https://api.spotify.com/v1/audio-analysis/1frf0XWnMowpEYeNHIOCQh,366080,4
"Ocean - Live From The Matrix, San Francisco, CA / 1969",The Velvet Underground,0.249,0.671,7,-7.611,1,0.0313,0.412,0.43,0.284,0.216,80.149,audio_features,68ry0Tqwy66bCBOjNu6VKQ,spotify:track:68ry0Tqwy66bCBOjNu6VKQ,https://api.spotify.com/v1/tracks/68ry0Tqwy66bCBOjNu6VKQ,https://api.spotify.com/v1/audio-analysis/68ry0Tqwy66bCBOjNu6VKQ,659200,4
"Sweet Jane - Live From The Matrix, San Francisco, CA / 1969",The Velvet Underground,0.585,0.436,2,-10.035,1,0.0362,0.259,0.00698,0.392,0.547,86.105,audio_features,4mpZ9Qm0jbNvZFtNK63Omy,spotify:track:4mpZ9Qm0jbNvZFtNK63Omy,https://api.spotify.com/v1/tracks/4mpZ9Qm0jbNvZFtNK63Omy,https://api.spotify.com/v1/audio-analysis/4mpZ9Qm0jbNvZFtNK63Omy,240693,4
Pale Blue Eyes - Closet Mix,The Velvet Underground,0.643,0.125,5,-17.703,1,0.0342,0.904,0.000166,0.103,0.342,82.855,audio_features,7BJ8zZRpcFlRd79NEk2i1V,spotify:track:7BJ8zZRpcFlRd79NEk2i1V,https://api.spotify.com/v1/tracks/7BJ8zZRpcFlRd79NEk2i1V,https://api.spotify.com/v1/audio-analysis/7BJ8zZRpcFlRd79NEk2i1V,339213,4
