index,uri,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,duration_ms
"siren 042, lala lala",spotify:track:75nN4kH1uzSsUdMrdUVfrq,108.0,0.601,0.596,11,-7.372999999999999,1,0.0251,0.6940000000000001,0.00579,0.107,0.457,4,161043
"make me a song, eleanor friedberger",spotify:track:71GBQ7iVnffAGkNuTDxCoH,129.993,0.727,0.575,2,-8.295,1,0.0292,0.0548,0.0131,0.12300000000000001,0.622,4,332400
"uprising, muse",spotify:track:4VqPOruhp5EdPBeR92t6lQ,128.019,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.11699999999999999,0.41100000000000003,4,304840
"time is running out, muse",spotify:track:2takcwOaAZWiXQijPHIx7B,118.211,0.585,0.8420000000000001,9,-5.882999999999999,0,0.0556,0.00242,0.00686,0.0866,0.428,4,237040
"knights of cydonia, muse",spotify:track:7ouMYWpwJ422jRcDASZB7P,137.114,0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.21100000000000002,4,366213
"vicious, lou reed",spotify:track:4A48NL57P16zSRaq3yoYry,124.24700000000001,0.605,0.846,2,-7.755,1,0.0337,0.0006,0.8859999999999999,0.0526,0.9520000000000001,4,176533
"like a hurricane - 2017 remaster, neil young",spotify:track:1n6gDSllAqVSweuFD82hNH,113.829,0.424,0.8640000000000001,9,-4.532,0,0.0365,0.0128,0.00215,0.149,0.5710000000000001,4,497493
"smile like you mean it, the killers",spotify:track:4kAgnAL4WKx7YqnlL2fvMh,125.087,0.36200000000000004,0.9790000000000001,3,-2.5810000000000004,0,0.161,0.00037799999999999997,0.0151,0.231,0.38299999999999995,4,234107
"season of the witch, donovan",spotify:track:6MOEQCtAWNSCmvg3SFKF5y,99.735,0.516,0.513,2,-10.762,1,0.0288,0.159,0.00957,0.0612,0.6940000000000001,4,293933
"harvest moon, neil young",spotify:track:5l9c6bJmzvftumhz4TMPgk,112.929,0.648,0.309,2,-12.432,1,0.0264,0.526,0.00024900000000000004,0.124,0.40700000000000003,4,303213
"canopée, polo & pan",spotify:track:260V7huyJrXnyYe0dFv2Fa,96.005,0.7040000000000001,0.6920000000000001,5,-6.558,0,0.0304,0.0942,0.0109,0.0922,0.369,4,276293
"saat vayse, zedbazi",spotify:track:2VAXA5gR66Afn5ZIMZSp7n,126.01100000000001,0.701,0.733,10,-9.82,0,0.0369,0.5489999999999999,1.1400000000000001e-05,0.0843,0.785,4,312660
"les bateaux, pépite",spotify:track:0TFbOsnKJ6c6WQjBvhZwsi,137.968,0.5329999999999999,0.527,4,-8.815,1,0.0269,0.273,2.6300000000000002e-05,0.0586,0.29600000000000004,4,187720
"free, cat power",spotify:track:6GJZaic4HSan2B2jgvI2L4,133.625,0.833,0.6729999999999999,0,-8.851,1,0.0351,0.322,0.00851,0.11699999999999999,0.743,4,213107
"beginning to see the light - closet mix, the velvet underground",spotify:track:248yl9Wbn6b7rb3Z5jKBbL,124.59899999999999,0.609,0.632,5,-8.703,1,0.027999999999999997,0.11599999999999999,0.8690000000000001,0.13,0.841,4,279907
"new age - live from the matrix, san francisco, ca / 1969, the velvet underground",spotify:track:2dx4ARjTXNK0xALBEOSwG4,80.605,0.384,0.524,0,-8.561,1,0.0308,0.579,0.000133,0.341,0.344,4,396107
"rock and roll - live from the matrix, san francisco, ca / 1969, the velvet underground",spotify:track:1frf0XWnMowpEYeNHIOCQh,140.246,0.457,0.7859999999999999,0,-6.91,1,0.0292,0.21600000000000003,0.00606,0.11199999999999999,0.35200000000000004,4,366080
"ocean - live from the matrix, san francisco, ca / 1969, the velvet underground",spotify:track:68ry0Tqwy66bCBOjNu6VKQ,80.149,0.249,0.6709999999999999,7,-7.611000000000001,1,0.0313,0.41200000000000003,0.43,0.284,0.21600000000000003,4,659200
"pale blue eyes - closet mix, the velvet underground",spotify:track:7BJ8zZRpcFlRd79NEk2i1V,82.855,0.643,0.125,5,-17.703,1,0.0342,0.904,0.000166,0.10300000000000001,0.342,4,339213
"hey mr. rain - version one, the velvet underground",spotify:track:2oZnL37Fz8bL4ANpJr8QYq,99.256,0.314,0.423,9,-12.343,1,0.0443,0.27399999999999997,0.369,0.222,0.391,4,280093
"it was a pleasure then, nico",spotify:track:1NIPccr0kY8XNg6yds1U8a,100.48200000000001,0.267,0.175,2,-15.065,1,0.0366,0.9420000000000001,0.547,0.11599999999999999,0.0742,3,482867
"chelsea girls, nico",spotify:track:1WJjqHx6agqO2vrhkJPCjp,101.288,0.33299999999999996,0.163,7,-15.575999999999999,0,0.039,0.9620000000000001,0.0024,0.122,0.19399999999999998,4,446427
"jack & jane, the velvet underground",spotify:track:6KDBCw8UZpZFSOYU64YChH,119.525,0.833,0.621,4,-8.289,1,0.0376,0.18899999999999997,2.8e-06,0.057999999999999996,0.961,4,177067
"wordless, the velvet underground",spotify:track:3Lc4EFhwaxUQg9IdfL3PZ6,88.15899999999999,0.624,0.514,0,-9.506,1,0.0271,0.7509999999999999,0.000604,0.14300000000000002,0.469,4,183093
"send no letter, the velvet underground",spotify:track:5lctbHcYWfgCae10dgVc2A,177.93400000000003,0.474,0.765,5,-7.853,1,0.0706,0.0616,1.84e-06,0.0639,0.9390000000000001,4,192907
"caroline, the velvet underground",spotify:track:5sdoJNRJh1Vbr6qYk1solp,159.849,0.693,0.695,6,-7.781000000000001,1,0.136,0.217,0.0,0.10800000000000001,0.8270000000000001,4,155147
"mean old man, the velvet underground",spotify:track:5cYnwvde4Z5UE9lvhnUv0q,120.307,0.774,0.7140000000000001,2,-9.27,1,0.036000000000000004,0.0296,0.0,0.29,0.826,4,173147
"little jack, the velvet underground",spotify:track:0tMbZfyqgUjp1iHg9xOWHv,101.863,0.655,0.79,9,-7.457000000000001,1,0.032,0.204,6.82e-06,0.495,0.758,4,207067
"crash, the velvet underground",spotify:track:0hQ5ZtNq6lpGhnLNIuvBNu,96.28299999999999,0.735,0.253,2,-14.739,1,0.032,0.688,1.01e-05,0.0515,0.922,4,82987
"new age, the velvet underground",spotify:track:3TS0PSEGYcvQWVPeK2DrWi,79.37899999999999,0.385,0.413,0,-12.13,1,0.0333,0.535,0.00033,0.29,0.34700000000000003,4,396173
"sweet jane - live from the matrix, san francisco, ca / 1969, the velvet underground",spotify:track:4Ix141y9rAazV5xUVr0VeS,85.274,0.594,0.309,2,-15.73,1,0.0422,0.233,0.0236,0.5329999999999999,0.584,4,240160
"waiting for the man, the velvet underground",spotify:track:23i8helR1qRsqTx0WJXxWu,106.455,0.48200000000000004,0.466,2,-13.58,1,0.0292,0.8640000000000001,0.0159,0.14800000000000002,0.691,4,423400
