index,uri
"siren 042, lala lala",spotify:track:75nN4kH1uzSsUdMrdUVfrq
"make me a song, eleanor friedberger",spotify:track:71GBQ7iVnffAGkNuTDxCoH
"uprising, muse",spotify:track:4VqPOruhp5EdPBeR92t6lQ
"time is running out, muse",spotify:track:2takcwOaAZWiXQijPHIx7B
"knights of cydonia, muse",spotify:track:7ouMYWpwJ422jRcDASZB7P
"vicious, lou reed",spotify:track:4A48NL57P16zSRaq3yoYry
"like a hurricane - 2017 remaster, neil young",spotify:track:1n6gDSllAqVSweuFD82hNH
"smile like you mean it, the killers",spotify:track:4kAgnAL4WKx7YqnlL2fvMh
"season of the witch, donovan",spotify:track:6MOEQCtAWNSCmvg3SFKF5y
"harvest moon, neil young",spotify:track:5l9c6bJmzvftumhz4TMPgk
"canopée, polo & pan",spotify:track:260V7huyJrXnyYe0dFv2Fa
"saat vayse, zedbazi",spotify:track:2VAXA5gR66Afn5ZIMZSp7n
"les bateaux, pépite",spotify:track:0TFbOsnKJ6c6WQjBvhZwsi
"free, cat power",spotify:track:6GJZaic4HSan2B2jgvI2L4
"beginning to see the light - closet mix, the velvet underground",spotify:track:248yl9Wbn6b7rb3Z5jKBbL
"new age - live from the matrix, san francisco, ca / 1969, the velvet underground",spotify:track:2dx4ARjTXNK0xALBEOSwG4
"rock and roll - live from the matrix, san francisco, ca / 1969, the velvet underground",spotify:track:1frf0XWnMowpEYeNHIOCQh
"ocean - live from the matrix, san francisco, ca / 1969, the velvet underground",spotify:track:68ry0Tqwy66bCBOjNu6VKQ
"pale blue eyes - closet mix, the velvet underground",spotify:track:7BJ8zZRpcFlRd79NEk2i1V
"hey mr. rain - version one, the velvet underground",spotify:track:2oZnL37Fz8bL4ANpJr8QYq
"it was a pleasure then, nico",spotify:track:1NIPccr0kY8XNg6yds1U8a
"chelsea girls, nico",spotify:track:1WJjqHx6agqO2vrhkJPCjp
"jack & jane, the velvet underground",spotify:track:6KDBCw8UZpZFSOYU64YChH
"wordless, the velvet underground",spotify:track:3Lc4EFhwaxUQg9IdfL3PZ6
"send no letter, the velvet underground",spotify:track:5lctbHcYWfgCae10dgVc2A
"caroline, the velvet underground",spotify:track:5sdoJNRJh1Vbr6qYk1solp
"mean old man, the velvet underground",spotify:track:5cYnwvde4Z5UE9lvhnUv0q
"little jack, the velvet underground",spotify:track:0tMbZfyqgUjp1iHg9xOWHv
"crash, the velvet underground",spotify:track:0hQ5ZtNq6lpGhnLNIuvBNu
"new age, the velvet underground",spotify:track:3TS0PSEGYcvQWVPeK2DrWi
"sweet jane - live from the matrix, san francisco, ca / 1969, the velvet underground",spotify:track:4Ix141y9rAazV5xUVr0VeS
"waiting for the man, the velvet underground",spotify:track:23i8helR1qRsqTx0WJXxWu
"ocean, the velvet underground",spotify:track:4YnQESBmgiYcmKXRzSfjy5
"rock and roll, the velvet underground",spotify:track:5LI786WjVfUnUeZBPQowtt
"ferryboat bill, the velvet underground",spotify:track:5qj3EQB2KcldueyW8PTKyL
"coney island steeplechase, the velvet underground",spotify:track:5WYFLOqHjy9cWeHj4kbOzZ
"ride into the sun, the velvet underground",spotify:track:05sabuHmgGSO7zFn1Q6Zct
"we're gonna have a real good time together, the velvet underground",spotify:track:37FUkyxKdVG5QQS3F3OZTi
"beginning to see the light - early version, the velvet underground",spotify:track:6T1heqJlWih0KsY5Gja634
"hey mr. rain - version 2, the velvet underground",spotify:track:3kH9s21zATtB3xX69rH3ap
"hey mr. rain - version 1, the velvet underground",spotify:track:3B3rITFY4UAb1C0BUvIxt2
"temptation inside your heart, the velvet underground",spotify:track:7yexycwAnU6Sq4qD7aO8yf
"guess i'm falling in love - instrumental version, the velvet underground",spotify:track:4BywdhVkXOz5m9FLL3b9aM
"i heard her call my name - alternate take, the velvet underground",spotify:track:1GXcim081lF4LggGbCyYkO
"sweet jane - live, the velvet underground",spotify:track:08gy68MItzkU63qIOkORO1
"heroin - live, the velvet underground",spotify:track:1pwGU2tMwClYkioywE00dG
"white light/white heat - live, the velvet underground",spotify:track:7FO4rdfNpOtb1uVfjHq4yR
"pale blue eyes - live, the velvet underground",spotify:track:3zKB4gETD1nRBOsrln0ipX
"i can't stand it anymore - live, the velvet underground",spotify:track:29gsBHJ8Q6FdMgls604ctM
